,Provincia,Edad Aprox.,Motivo Desaparción,Situación Actual,Sexo
0,1,17,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
1,1,17,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
2,2,39,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
3,1,14,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
4,3,28,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
5,2,42,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
6,4,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
7,4,28,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
8,5,12,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
9,4,2,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
10,1,16,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
11,6,23,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
12,4,21,PROBLEMAS PSICOLÓGICOS,ENCONTRADO,MUJER
13,7,17,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
14,7,2,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
15,8,1,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
16,7,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
17,9,79,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
18,1,38,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
19,8,23,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
20,10,3,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
21,7,37,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
22,11,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
23,4,16,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
24,12,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
25,1,69,DISCAPACIDADES Y ENFERMEDADES,ENCONTRADO,MUJER
26,4,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
27,1,16,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
28,4,52,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
29,1,23,DISCAPACIDADES Y ENFERMEDADES,ENCONTRADO,HOMBRE
30,8,64,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
31,6,17,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
32,6,29,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
33,6,17,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
34,6,45,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
35,4,15,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
36,4,13,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
37,1,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
38,9,17,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
39,8,20,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
40,4,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
41,8,47,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
42,11,12,EXTRAVIADA,ENCONTRADO,MUJER
43,12,13,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
44,13,22,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
45,9,19,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
46,1,2,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
47,14,12,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
48,15,25,EXTRAVIADA,ENCONTRADO,HOMBRE
49,4,4,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
50,4,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
51,4,40,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
52,2,23,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
53,10,4,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
54,10,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
55,13,26,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
56,4,28,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
57,1,14,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
58,13,17,DISCAPACIDADES Y ENFERMEDADES,ENCONTRADO,HOMBRE
59,1,11,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
60,13,52,EXTRAVIADA,ENCONTRADO,HOMBRE
61,13,40,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
62,3,27,PROBLEMAS PSICOLÓGICOS,ENCONTRADO,MUJER
63,2,8,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
64,3,14,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
65,3,3,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
66,16,1,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
67,7,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
68,13,25,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
69,7,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
70,13,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
71,4,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
72,1,12,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
73,15,21,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
74,13,25,PROBLEMA ECÓNOMICOS,ENCONTRADO,HOMBRE
75,17,36,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
76,1,18,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
77,3,31,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
78,3,45,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
79,1,14,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
80,4,77,DISCAPACIDADES Y ENFERMEDADES,ENCONTRADO,HOMBRE
81,1,16,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
82,11,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
83,5,20,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
84,4,27,FALLECIDO,FALLECIDO,HOMBRE
85,1,34,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
86,1,17,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
87,13,23,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
88,4,22,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
89,1,14,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
90,1,18,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
91,2,40,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
92,16,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
93,2,32,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
94,2,23,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
95,2,5,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
96,4,3,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
97,8,15,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
98,6,21,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
99,10,12,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
100,7,30,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
101,4,38,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
102,4,12,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
103,3,37,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
104,1,23,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
105,2,16,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
106,18,15,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
107,4,15,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
108,1,53,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
109,1,46,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
110,1,14,PROBLEMAS SOCIALES,ENCONTRADO,HOMBRE
111,1,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
112,19,20,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
113,20,19,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
114,17,39,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
115,1,13,PROBLEMAS FAMILIARES,ENCONTRADO,HOMBRE
116,8,38,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
117,8,17,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
118,4,14,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
119,3,16,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
120,1,23,PROBLEMAS FAMILIARES,ENCONTRADO,MUJER
121,1,32,PROBLEMAS FAMILIARES,DESAPARECIDO,HOMBRE
122,10,15,PROBLEMAS FAMILIARES,DESAPARECIDO,MUJER
123,21,15,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
124,10,17,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
125,1,13,PROBLEMAS SOCIALES,ENCONTRADO,MUJER
126,3,22,FALLECIDO,FALLECIDO,HOMBRE
