year,industry_ode_ANZSI,industry_name_ANZSI,rme_size_grp,variale,value,unit
2011,A,"Agriulture, Forestry and Fishing",a_0,Ativity unit,46134,OUNT
2011,A,"Agriulture, Forestry and Fishing",a_0,Rolling mean employees,0,OUNT
2011,A,"Agriulture, Forestry and Fishing",a_0,Salaries and wages paid,279,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",a_0,"Sales, government funding, grants and susidies",8187,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",a_0,Total inome,8866,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",a_0,Total expenditure,7618,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",a_0,Operating profit efore tax,770,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",a_0,Total assets,55700,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",a_0,Fixed tangile assets,32155,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_1-5,Ativity unit,21777,OUNT
2011,A,"Agriulture, Forestry and Fishing",_1-5,Rolling mean employees,38136,OUNT
2011,A,"Agriulture, Forestry and Fishing",_1-5,Salaries and wages paid,1435,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_1-5,"Sales, government funding, grants and susidies",13359,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_1-5,Total inome,13771,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_1-5,Total expenditure,12316,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_1-5,Operating profit efore tax,1247,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_1-5,Total assets,52666,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_1-5,Fixed tangile assets,31235,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_6-9,Ativity unit,1965,OUNT
2011,A,"Agriulture, Forestry and Fishing",_6-9,Rolling mean employees,13848,OUNT
2011,A,"Agriulture, Forestry and Fishing",_6-9,Salaries and wages paid,467,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_6-9,"Sales, government funding, grants and susidies",3060,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_6-9,Total inome,3114,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_6-9,Total expenditure,2895,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_6-9,Operating profit efore tax,223,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_6-9,Total assets,9323,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",_6-9,Fixed tangile assets,5482,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",d_10-19,Ativity unit,1140,OUNT
2011,A,"Agriulture, Forestry and Fishing",d_10-19,Rolling mean employees,14850,OUNT
2011,A,"Agriulture, Forestry and Fishing",d_10-19,Salaries and wages paid,477,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",d_10-19,"Sales, government funding, grants and susidies",2396,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",d_10-19,Total inome,2438,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",d_10-19,Total expenditure,2344,DOLLARS(millions)
2011,A,"Agriulture, Forestry and Fishing",d_10-19,Operating profit efore tax,126,DOLLARS(millions)
