,Provincia,Edad Aprox.,Sexo
0,1,17,HOMBRE
1,1,17,MUJER
2,2,39,HOMBRE
3,1,14,MUJER
4,3,28,HOMBRE
5,2,42,HOMBRE
6,4,16,MUJER
7,4,28,HOMBRE
8,5,12,HOMBRE
9,4,2,MUJER
10,1,16,MUJER
11,6,23,HOMBRE
12,4,21,MUJER
13,7,17,MUJER
14,7,2,HOMBRE
15,8,1,MUJER
16,7,15,MUJER
17,9,79,HOMBRE
18,1,38,HOMBRE
19,8,23,HOMBRE
20,10,3,MUJER
21,7,37,HOMBRE
22,11,15,MUJER
23,4,16,HOMBRE
24,12,14,MUJER
25,1,69,MUJER
26,4,15,MUJER
27,1,16,HOMBRE
28,4,52,HOMBRE
29,1,23,HOMBRE
30,8,64,HOMBRE
31,6,17,HOMBRE
32,6,29,HOMBRE
33,6,17,HOMBRE
34,6,45,MUJER
35,4,15,MUJER
36,4,13,MUJER
37,1,14,MUJER
38,9,17,MUJER
39,8,20,HOMBRE
40,4,15,MUJER
41,8,47,MUJER
42,11,12,MUJER
43,12,13,MUJER
44,13,22,HOMBRE
45,9,19,MUJER
46,1,2,MUJER
47,14,12,HOMBRE
48,15,25,HOMBRE
49,4,4,HOMBRE
50,4,16,MUJER
51,4,40,MUJER
52,2,23,MUJER
53,10,4,MUJER
54,10,15,MUJER
55,13,26,MUJER
56,4,28,HOMBRE
57,1,14,HOMBRE
58,13,17,HOMBRE
59,1,11,HOMBRE
60,13,52,HOMBRE
61,13,40,HOMBRE
62,3,27,MUJER
63,2,8,MUJER
64,3,14,MUJER
65,3,3,HOMBRE
66,16,1,MUJER
67,7,15,MUJER
68,13,25,HOMBRE
69,7,15,MUJER
70,13,16,MUJER
71,4,14,MUJER
72,1,12,MUJER
73,15,21,HOMBRE
74,13,25,HOMBRE
75,17,36,MUJER
76,1,18,MUJER
77,3,31,HOMBRE
78,3,45,HOMBRE
79,1,14,MUJER
80,4,77,HOMBRE
81,1,16,MUJER
82,11,15,MUJER
83,5,20,HOMBRE
84,4,27,HOMBRE
85,1,34,HOMBRE
86,1,17,HOMBRE
87,13,23,HOMBRE
88,4,22,HOMBRE
89,1,14,HOMBRE
90,1,18,HOMBRE
91,2,40,HOMBRE
92,16,16,MUJER
93,2,32,MUJER
94,2,23,MUJER
95,2,5,MUJER
96,4,3,MUJER
97,8,15,MUJER
98,6,21,MUJER
99,10,12,MUJER
100,7,30,HOMBRE
101,4,38,HOMBRE
102,4,12,MUJER
103,3,37,HOMBRE
104,1,23,MUJER
105,2,16,MUJER
106,18,15,MUJER
107,4,15,MUJER
108,1,53,HOMBRE
109,1,46,MUJER
110,1,14,HOMBRE
111,1,15,MUJER
112,19,20,MUJER
113,20,19,MUJER
114,17,39,MUJER
115,1,13,HOMBRE
116,8,38,HOMBRE
117,8,17,MUJER
118,4,14,MUJER
119,3,16,HOMBRE
120,1,23,MUJER
121,1,32,HOMBRE
122,10,15,MUJER
123,21,15,MUJER
124,10,17,MUJER
125,1,13,MUJER
126,3,22,HOMBRE
127,4,25,HOMBRE
128,3,15,MUJER
129,7,18,MUJER
130,6,13,MUJER
131,1,31,HOMBRE
132,7,15,MUJER
133,3,21,MUJER
134,4,16,MUJER
135,7,38,MUJER
136,1,80,HOMBRE
