Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
PICHINCHA;-0,2188216;-78,5135489;17;HOMBRE;SIN_DATO;SIN_DATO;24/1/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,26909023;-78,54001523;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/2/2023;ENCONTRADO;7/2/2023
SANTO DOMINGO DE LOS TSACHILAS;0,0091672;-79,391605;39;HOMBRE;SIN_DATO;SIN_DATO;1/2/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,17504166;-78,47478184;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/3/2023;ENCONTRADO;17/3/2023
ESMERALDAS;0,9873857;-79,65649069;28;HOMBRE;SIN_DATO;SIN_DATO;7/2/2023;DESAPARECIDO;SIN_DATO
SANTO DOMINGO DE LOS TSACHILAS;-0,2683217;-79,1978398;42;HOMBRE;SIN_DATO;SIN_DATO;13/3/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,1258684;-79,9227452;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;2/3/2023;ENCONTRADO;20/3/2023
GUAYAS;-2,1225293;-80,000135;28;HOMBRE;SIN_DATO;SIN_DATO;15/3/2023;DESAPARECIDO;SIN_DATO
CHIMBORAZO;-1,6604411;-78,6563855;12;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO FISICO;9/2/2023;ENCONTRADO;9/2/2023
GUAYAS;-2,2402791;-79,9220686;2;MUJER;SIN_DATO;SIN_DATO;5/2/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,21867203;-78,50517916;16;MUJER;SIN_DATO;SIN_DATO;17/3/2023;DESAPARECIDO;SIN_DATO
IMBABURA;0,3475869;-78,1160486;23;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;10/3/2023;ENCONTRADO;16/3/2023
GUAYAS;-2,11391357;-79,98889708;21;MUJER;PROBLEMAS PSICOLÓGICOS;DEPRESION;18/3/2023;ENCONTRADO;28/3/2023
MANABI;-0,95853387;-80,74264526;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/2/2023;ENCONTRADO;22/3/2023
MANABI;-0,95853387;-80,74264526;2;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/2/2023;ENCONTRADO;22/3/2023
AZUAY;-2,89018174;-79,02961728;1;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/3/2023;ENCONTRADO;6/4/2023
MANABI;-0,84977849;-80,53141594;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;19/2/2023;ENCONTRADO;23/2/2023
CARCHI;0,5948949;-77,8281514;79;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/3/2023;ENCONTRADO;22/3/2023
PICHINCHA;-0,2930405;-78,5497592;38;HOMBRE;SIN_DATO;SIN_DATO;15/3/2023;DESAPARECIDO;SIN_DATO
AZUAY;-2,89328886;-78,9994653;23;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/3/2023;ENCONTRADO;22/3/2023
LOS RIOS;-1,0336635;-79,4506989;3;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/3/2023;ENCONTRADO;16/3/2023
MANABI;0,0731181;-80,0513928;37;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;14/1/2023;ENCONTRADO;22/3/2023
TUNGURAHUA;-1,30969307;-78,51090218;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/2/2023;ENCONTRADO;2/3/2023
GUAYAS;-2,06302898;-79,94972714;16;HOMBRE;SIN_DATO;SIN_DATO;18/3/2023;DESAPARECIDO;SIN_DATO
SUCUMBIOS;0,08180581;-76,87016405;14;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;27/2/2023;ENCONTRADO;1/3/2023
PICHINCHA;-0,3314841;-78,4254543;69;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;13/3/2023;ENCONTRADO;24/3/2023
GUAYAS;-2,2438091;-79,9066763;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/3/2023;ENCONTRADO;28/3/2023
PICHINCHA;-0,204459;-78,3426905;16;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/2/2023;ENCONTRADO;28/2/2023
GUAYAS;-1,797673;-80,026285;52;HOMBRE;SIN_DATO;SIN_DATO;29/1/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,27768447;-78,55758901;23;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;7/2/2023;ENCONTRADO;9/3/2023
AZUAY;-2,87178367;-79,06679508;64;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/1/2023;ENCONTRADO;4/3/2023
IMBABURA;0,3552973;-78,1250848;17;HOMBRE;SIN_DATO;SIN_DATO;23/2/2023;DESAPARECIDO;SIN_DATO
IMBABURA;0,3471469;-78,1323648;29;HOMBRE;SIN_DATO;SIN_DATO;12/2/2023;DESAPARECIDO;SIN_DATO
IMBABURA;0,3552973;-78,1250848;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/2/2023;ENCONTRADO;3/3/2023
IMBABURA;0,34576683;-78,13592434;45;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;22/2/2023;ENCONTRADO;4/3/2023
GUAYAS;-2,0646512;-79,8926809;15;MUJER;SIN_DATO;SIN_DATO;2/3/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,26935613;-79,75955774;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/1/2023;ENCONTRADO;5/2/2023
PICHINCHA;-0,1044341;-78,4846548;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;27/3/2023;ENCONTRADO;27/3/2023
CARCHI;0,8199273;-77,71331504;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/1/2023;ENCONTRADO;16/1/2023
AZUAY;-2,979583;-79,6848909;20;HOMBRE;SIN_DATO;SIN_DATO;11/1/2023;DESAPARECIDO;SIN_DATO
GUAYAS;-2,0145451;-79,9259385;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/1/2023;ENCONTRADO;17/1/2023
AZUAY;-2,88142599;-79,00526814;47;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;17/1/2023;ENCONTRADO;22/1/2023
TUNGURAHUA;-1,271952;-78,6207711;12;MUJER;EXTRAVIADA;PERSONA EXTRAVIADA;16/1/2023;ENCONTRADO;19/1/2023
SUCUMBIOS;-0,18829138;-76,64215118;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/1/2023;ENCONTRADO;25/1/2023
EL ORO;-3,25847541;-79,95848846;22;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;8/1/2023;ENCONTRADO;26/1/2023
CARCHI;0,5948949;-77,8281514;19;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/1/2023;ENCONTRADO;31/1/2023
PICHINCHA;0,0015208;-78,2186045;2;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;11/3/2023;ENCONTRADO;21/3/2023
ORELLANA;-0,4616728;-76,9931074;12;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO FISICO;26/1/2023;ENCONTRADO;1/2/2023
NAPO;-0,93259508;-77,77341843;25;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;15/1/2023;ENCONTRADO;1/2/2023
GUAYAS;-2,62767924;-80,40004703;4;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO FISICO;24/1/2023;ENCONTRADO;2/2/2023
GUAYAS;-2,62767924;-80,40004703;16;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;24/1/2023;ENCONTRADO;2/2/2023
GUAYAS;-2,62767924;-80,40004703;40;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;24/1/2023;ENCONTRADO;2/2/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,2127289;-79,1369546;23;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;29/1/2023;ENCONTRADO;1/2/2023
LOS RIOS;-0,96617922;-79,42054382;4;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;1/2/2023;ENCONTRADO;2/2/2023
LOS RIOS;-0,72860049;-79,47111598;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;21/1/2023;ENCONTRADO;2/2/2023
EL ORO;-3,24463384;-79,9721539;26;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/1/2023;ENCONTRADO;3/2/2023
GUAYAS;-2,2840098;-79,8847104;28;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;29/1/2023;ENCONTRADO;5/2/2023
PICHINCHA;-0,1054104;-78,5133372;14;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;1/2/2023;ENCONTRADO;4/2/2023
EL ORO;-3,25624537;-79,95379046;17;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;24/1/2023;ENCONTRADO;24/1/2023
PICHINCHA;-0,21230709;-78,50266278;11;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/1/2023;ENCONTRADO;28/1/2023
EL ORO;-3,47640684;-80,22280228;52;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;1/2/2023;ENCONTRADO;6/2/2023
EL ORO;-3,32726864;-79,79608727;40;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;28/2/2023;ENCONTRADO;9/3/2023
ESMERALDAS;1,28340478;-78,83600235;27;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;21/1/2023;ENCONTRADO;7/2/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,23876086;-79,17232865;8;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;8/2/2023;ENCONTRADO;8/2/2023
ESMERALDAS;0,90186627;-79,68476051;14;MUJER;SIN_DATO;SIN_DATO;12/2/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;1,2756605;-78,846488;3;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;6/2/2023;ENCONTRADO;10/2/2023
SANTA ELENA;-2,250219;-80,920593;1;MUJER;SIN_DATO;SIN_DATO;29/1/2023;DESAPARECIDO;SIN_DATO
MANABI;-1,03054033;-80,46416759;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;3/2/2023;ENCONTRADO;21/2/2023
EL ORO;-3,24525766;-79,95017177;25;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;31/1/2023;ENCONTRADO;1/3/2023
MANABI;-1,03371019;-80,45318127;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;22/2/2023;ENCONTRADO;23/2/2023
EL ORO;-3,26526917;-79,95803565;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/3/2023;ENCONTRADO;8/3/2023
GUAYAS;-2,1323186;-79,8926809;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;8/3/2023;ENCONTRADO;10/3/2023
PICHINCHA;-0,12233445;-78,48502787;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;4/3/2023;ENCONTRADO;6/4/2023
NAPO;-1,05352205;-77,54830221;21;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;5/3/2023;ENCONTRADO;9/3/2023
EL ORO;-3,25466457;-79,96235847;25;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;7/3/2023;ENCONTRADO;10/3/2023
LOJA;-4,0282595;-79,2088096;36;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/3/2023;ENCONTRADO;5/4/2023
PICHINCHA;-0,23905615;-78,51046108;18;MUJER;SIN_DATO;SIN_DATO;31/3/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,533362;-79,5227688;31;HOMBRE;SIN_DATO;SIN_DATO;28/3/2023;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,533362;-79,5227688;45;HOMBRE;SIN_DATO;SIN_DATO;28/3/2023;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,25876763;-78,55811298;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/3/2023;ENCONTRADO;2/4/2023
GUAYAS;-2,2433865;-79,8895317;77;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;11/3/2023;ENCONTRADO;26/3/2023
PICHINCHA;-0,2061797;-78,5008136;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/3/2023;ENCONTRADO;18/3/2023
TUNGURAHUA;-1,3128375;-78,5064473;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;6/3/2023;ENCONTRADO;13/3/2023
