FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Active,Combined_Key
45001,South Carolina,US,5/18/2020 2:32,34.22333378,-82.46170658,35,0,35,"Abbeville, South Carolina, US"
22001,Louisiana,US,5/18/2020 2:32,30.2950649,-92.41419698,198,12,186,"Acadia, Louisiana, US"
51001,Virginia,US,5/18/2020 2:32,37.76707161,-75.63234615,688,9,679,"Accomack, Virginia, US"
16001,Idaho,US,5/18/2020 2:32,43.4526575,-116.2415516,773,22,751,"Ada, Idaho, US"
19001,Iowa,US,5/18/2020 2:32,41.33075609,-94.47105874,5,0,5,"Adair, Iowa, US"
21001,Kentucky,US,5/18/2020 2:32,37.10459774,-85.28129668,92,14,78,"Adair, Kentucky, US"
29001,Missouri,US,5/18/2020 2:32,40.19058551,-92.60078167,26,0,26,"Adair, Missouri, US"
40001,Oklahoma,US,5/18/2020 2:32,35.88494195,-94.65859267,75,3,72,"Adair, Oklahoma, US"
8001,Colorado,US,5/18/2020 2:32,39.87432092,-104.3362578,2613,102,2511,"Adams, Colorado, US"
16003,Idaho,US,5/18/2020 2:32,44.89333571,-116.4545247,3,0,3,"Adams, Idaho, US"
17001,Illinois,US,5/18/2020 2:32,39.98815591,-91.18786813,42,1,41,"Adams, Illinois, US"
18001,Indiana,US,5/18/2020 2:32,40.7457653,-84.93671406,9,1,8,"Adams, Indiana, US"
19003,Iowa,US,5/18/2020 2:32,41.02903567,-94.69932645,1,0,1,"Adams, Iowa, US"
28001,Mississippi,US,5/18/2020 2:32,31.47669768,-91.35326037,172,15,157,"Adams, Mississippi, US"
31001,Nebraska,US,5/18/2020 2:32,40.5244942,-98.50117804,252,3,249,"Adams, Nebraska, US"
39001,Ohio,US,5/18/2020 2:32,38.84541072,-83.4718964,8,0,8,"Adams, Ohio, US"
42001,Pennsylvania,US,5/18/2020 2:32,39.87140411,-77.21610347,189,6,183,"Adams, Pennsylvania, US"
53001,Washington,US,5/18/2020 2:32,46.98299757,-118.5601734,50,0,50,"Adams, Washington, US"
55001,Wisconsin,US,5/18/2020 2:32,43.96974651,-89.76782777,4,1,3,"Adams, Wisconsin, US"
50001,Vermont,US,5/18/2020 2:32,44.03217337,-73.14130877,62,2,60,"Addison, Vermont, US"
45003,South Carolina,US,5/18/2020 2:32,33.54338026,-81.63645384,154,7,147,"Aiken, South Carolina, US"
27001,Minnesota,US,5/18/2020 2:32,46.60962049,-93.4116826,3,0,3,"Aitkin, Minnesota, US"
12001,Florida,US,5/18/2020 2:32,29.67866525,-82.35928158,332,7,325,"Alachua, Florida, US"
37001,North Carolina,US,5/18/2020 2:32,36.0434701,-79.39976137,217,11,206,"Alamance, North Carolina, US"
6001,California,US,5/18/2020 2:32,37.64629437,-121.8929271,2392,83,2309,"Alameda, California, US"
8003,Colorado,US,5/18/2020 2:32,37.57250606,-105.7885451,41,2,39,"Alamosa, Colorado, US"
36001,New York,US,5/18/2020 2:32,42.60060306,-73.97723916,1579,68,1511,"Albany, New York, US"
56001,Wyoming,US,5/18/2020 2:32,41.65498705,-105.7235415,9,0,9,"Albany, Wyoming, US"
51003,Virginia,US,5/18/2020 2:32,38.02080697,-78.55481085,138,4,134,"Albemarle, Virginia, US"
26001,Michigan,US,5/18/2020 2:32,44.6846864,-83.59507875,6,1,5,"Alcona, Michigan, US"
28003,Mississippi,US,5/18/2020 2:32,34.88084463,-88.57996173,12,1,11,"Alcorn, Mississippi, US"
17003,Illinois,US,5/18/2020 2:32,37.18049267,-89.32910838,8,0,8,"Alexander, Illinois, US"
37003,North Carolina,US,5/18/2020 2:32,35.9223796,-81.17751948,21,0,21,"Alexander, North Carolina, US"
51510,Virginia,US,5/18/2020 2:32,38.814003,-77.08183073,1476,34,1442,"Alexandria, Virginia, US"
40003,Oklahoma,US,5/18/2020 2:32,36.73090616,-98.32408495,1,0,1,"Alfalfa, Oklahoma, US"
19005,Iowa,US,5/18/2020 2:32,43.28383218,-91.37860922,114,4,110,"Allamakee, Iowa, US"
26005,Michigan,US,5/18/2020 2:32,42.59147037,-85.89102866,179,2,177,"Allegan, Michigan, US"
24001,Maryland,US,5/18/2020 2:32,39.62357628,-78.69280486,161,13,148,"Allegany, Maryland, US"
36003,New York,US,5/18/2020 2:32,42.25748406,-78.02750466,44,0,44,"Allegany, New York, US"
37005,North Carolina,US,5/18/2020 2:32,36.49360862,-81.12857041,11,0,11,"Alleghany, North Carolina, US"
51005,Virginia,US,5/18/2020 2:32,37.78636074,-80.00222498,7,0,7,"Alleghany, Virginia, US"
42003,Pennsylvania,US,5/18/2020 2:32,40.46809875,-79.98167747,1603,143,1460,"Allegheny, Pennsylvania, US"
18003,Indiana,US,5/18/2020 2:32,41.09194313,-85.06800636,996,61,935,"Allen, Indiana, US"
21003,Kentucky,US,5/18/2020 2:32,36.75197631,-86.19457544,38,1,37,"Allen, Kentucky, US"
22003,Louisiana,US,5/18/2020 2:32,30.65385745,-92.82442028,100,10,90,"Allen, Louisiana, US"
39003,Ohio,US,5/18/2020 2:32,40.77285242,-84.10802343,167,30,137,"Allen, Ohio, US"
45005,South Carolina,US,5/18/2020 2:32,32.98837386,-81.35321066,33,3,30,"Allendale, South Carolina, US"
26007,Michigan,US,5/18/2020 2:32,45.03477666,-83.62212411,91,9,82,"Alpena, Michigan, US"
6003,California,US,5/18/2020 2:32,38.59678594,-119.8223594,2,0,2,"Alpine, California, US"
6005,California,US,5/18/2020 2:32,38.44583082,-120.65696,9,0,9,"Amador, California, US"
51007,Virginia,US,5/18/2020 2:32,37.34081025,-77.98584649,18,1,17,"Amelia, Virginia, US"
51009,Virginia,US,5/18/2020 2:32,37.60308293,-79.14548696,25,0,25,"Amherst, Virginia, US"
